1	74
2	14
7	94
8	62
9	1
14	86
14	74
14	10
14	28
15	59
16	39
17	72
18	78
24	45
25	7
26	23
26	70
26	94
28	85
28	49
29	83
30	35
31	21
31	76
31	24
34	91
34	90
35	50
37	100
39	96
40	25
40	10
41	26
42	29
44	63
44	20
45	48
46	50
46	70
47	82
50	93
56	92
59	21
59	85
60	73
62	17
63	85
65	27
66	49
66	41
67	74
67	56
68	27
68	65
68	64
69	68
71	33
71	1
72	99
74	27
74	80
74	43
74	48
78	85
78	40
80	36
81	79
82	99
82	38
82	82
83	69
84	21
84	23
85	7
87	50
88	78
91	12
92	96
93	28
93	74
93	90
94	76
96	4
96	6
96	60
97	40
97	49
97	94
97	62
97	67
98	4
98	33
99	54
99	49
100	78
101	97
102	21
103	30
104	18
105	99
105	80
106	56
106	5
108	12
109	61
112	17
112	64
113	67
113	81
113	90
114	35
114	87
115	28
115	11
116	19
116	18
117	23
119	61
119	80
121	70
122	65
122	68
122	29
123	29
124	90
127	66
127	22
127	23
128	4
128	12
128	23
129	52
133	27
134	77
135	36
136	63
136	67
137	21
138	78
138	93
141	12
141	66
141	91
141	53
141	53
144	53
144	72
145	41
146	75
146	15
146	99
146	51
147	59
147	37
149	100
150	25
150	91
152	53
153	33
153	18
154	1
156	81
156	96
159	74
160	98
162	50
163	92
164	66
164	67
165	44
165	20
165	56
166	81
166	79
169	55
169	99
170	59
170	31
171	62
171	10
172	33
173	31
175	77
177	87
178	42
180	6
181	73
183	96
183	84
188	49
191	65
191	27
192	76
194	97
195	41
199	64
199	43
199	33
206	32
207	50
208	51
209	68
211	32
211	91
214	58
215	23
216	91
216	25
217	22
217	58
219	53
219	82
220	62
221	48
222	26
223	78
223	55
224	10
226	28
226	92
227	50
228	98
228	36
228	46
230	45
230	2
230	90
233	32
235	100
235	51
237	45
238	21
238	43
240	18
241	82
241	61
242	2
242	41
243	49
244	86
244	71
246	93
247	35
247	2
247	15
251	90
253	43
253	59
253	35
254	95
255	41
255	27
260	17
261	34
263	67
263	44
263	51
264	99
265	31
265	26
266	29
268	69
269	58
269	51
269	24
270	76
272	90
273	62
274	46
275	39
275	76
275	83
276	10
276	27
276	97
277	35
279	86
279	28
281	18
281	97
281	17
282	33
283	11
284	100
285	99
287	7
288	95
290	7
290	12
292	35
295	29
295	14
296	73
296	52
298	80
300	89
300	60
300	69
302	13
304	66
307	91
308	9
310	42
311	7
312	69
313	4
313	58
315	87
315	51
315	17
318	100
321	24
321	67
321	100
321	44
323	51
323	50
323	20
324	79
324	13
325	95
326	24
328	33
330	15
331	95
331	3
332	64
332	64
333	41
335	34
335	89
337	33
338	93
338	1
339	7
339	77
341	8
342	30
343	57
343	34
344	30
345	24
346	4
346	42
347	75
347	37
347	69
349	92
350	3
350	46
352	32
353	26
354	19
355	39
359	18
361	16
361	5
363	17
364	21
364	61
364	52
364	20
365	61
366	77
367	99
367	78
368	20
369	68
372	83
373	57
373	22
374	39
374	16
376	80
377	95
377	6
378	32
380	74
381	40
382	19
384	34
384	56
385	56
387	15
390	31
390	87
390	71
391	84
391	14
392	70
392	26
393	65
395	5
395	89
396	99
396	6
396	89
397	42
398	2
398	56
399	1
400	79
401	84
403	23
403	75
405	6
406	20
406	22
407	97
408	81
408	65
408	79
409	83
409	53
409	65
410	62
410	76
410	39
410	20
412	53
412	67
415	56
416	28
417	19
418	13
419	52
419	3
420	98
420	45
423	53
423	27
424	9
427	96
428	85
430	13
430	99
432	79
436	89
437	76
437	8
437	8
439	80
441	93
442	9
444	5
444	21
445	97
445	81
446	83
447	80
449	42
452	4
452	68
452	98
453	88
455	55
456	72
457	87
458	94
458	35
459	96
460	81
460	81
461	38
461	45
462	93
463	1
464	75
464	53
465	43
465	45
465	80
469	16
469	96
469	14
470	54
471	13
475	98
475	26
475	9
476	52
477	94
477	88
480	99
483	55
485	72
485	4
486	97
487	80
487	56
488	39
490	34
491	52
491	69
492	89
493	88
494	58
496	64
496	85
498	87
499	90
500	52
500	88
501	43
502	97
502	12
503	33
503	100
504	30
506	31
514	31
514	44
516	90
516	96
518	22
521	82
524	40
525	64
527	51
527	17
527	77
527	51
528	90
528	54
529	6
